Title,Year,Duration,IMDB Rating,Genre,Actors,Nominations,Wins,Popularity
Inception,2010,148 min,8.8,"Action, Adventure, Sci-Fi","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",220,Won 4 Oscars. 159,"2,645,456"
The Dark Knight,2008,152 min,9.0,"Action, Crime, Drama","Christian Bale, Heath Ledger, Aaron Eckhart",165,Won 2 Oscars. 164,"2,974,670"
Interstellar,2014,169 min,8.7,"Adventure, Drama, Sci-Fi","Matthew McConaughey, Anne Hathaway, Jessica Chastain",148,Won 1 Oscar. 44,"2,259,078"
The Matrix,1999,136 min,8.7,"Action, Sci-Fi","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",52,Won 4 Oscars. 42,"2,124,695"
Pulp Fiction,1994,154 min,8.9,"Crime, Drama","John Travolta, Uma Thurman, Samuel L. Jackson",72,Won 1 Oscar. 69,"2,289,917"
The Lord of the Rings: The Fellowship of the Ring,2001,178 min,8.9,"Adventure, Drama, Fantasy","Elijah Wood, Ian McKellen, Orlando Bloom",126,Won 4 Oscars. 125,"2,082,432"
The Godfather,1972,175 min,9.2,"Crime, Drama","Marlon Brando, Al Pacino, James Caan",31,Won 3 Oscars. 31,"2,090,520"
The Shawshank Redemption,1994,142 min,9.3,Drama,"Tim Robbins, Morgan Freeman, Bob Gunton",42,Nominated for 7 Oscars. 21,"2,995,055"
Fight Club,1999,139 min,8.8,Drama,"Brad Pitt, Edward Norton, Meat Loaf",38,Nominated for 1 Oscar. 12,"2,409,361"
Forrest Gump,1994,142 min,8.8,"Drama, Romance","Tom Hanks, Robin Wright, Gary Sinise",74,Won 6 Oscars. 51,"2,342,884"
Star Wars: Episode V - The Empire Strikes Back,1980,124 min,8.7,"Action, Adventure, Fantasy","Mark Hamill, Harrison Ford, Carrie Fisher",20,Won 1 Oscar. 27,"1,421,764"
The Dark Knight Rises,2012,164 min,8.4,"Action, Drama, Thriller","Christian Bale, Tom Hardy, Anne Hathaway",103,Nominated for 1 BAFTA Award45,"1,875,652"
Gladiator,2000,155 min,8.5,"Action, Adventure, Drama","Russell Crowe, Joaquin Phoenix, Connie Nielsen",104,Won 5 Oscars. 60,"1,728,425"
The Silence of the Lambs,1991,118 min,8.6,"Crime, Drama, Thriller","Jodie Foster, Anthony Hopkins, Scott Glenn",50,Won 5 Oscars. 71,"1,607,965"
Saving Private Ryan,1998,169 min,8.6,"Drama, War","Tom Hanks, Matt Damon, Tom Sizemore",75,Won 5 Oscars. 79,"1,547,314"
Braveheart,1995,178 min,8.3,"Biography, Drama, War","Mel Gibson, Sophie Marceau, Patrick McGoohan",34,Won 5 Oscars. 34,"1,116,147"
Schindler's List,1993,195 min,9.0,"Biography, Drama, History","Liam Neeson, Ralph Fiennes, Ben Kingsley",49,Won 7 Oscars. 91,"1,501,081"
The Lion King,1994,88 min,8.5,"Animation, Adventure, Drama","Matthew Broderick, Jeremy Irons, James Earl Jones",35,Won 2 Oscars. 43,"1,181,907"
Jurassic Park,1993,127 min,8.2,"Action, Adventure, Sci-Fi","Sam Neill, Laura Dern, Jeff Goldblum",27,Won 3 Oscars. 44,"1,104,676"
The Avengers,2012,143 min,8.0,"Action, Sci-Fi","Robert Downey Jr., Chris Evans, Scarlett Johansson",81,Nominated for 1 Oscar. 39,"1,490,358"
Titanic,1997,194 min,7.9,"Drama, Romance","Leonardo DiCaprio, Kate Winslet, Billy Zane",83,Won 11 Oscars. 126,"1,322,762"
The Departed,2006,151 min,8.5,"Crime, Drama, Thriller","Leonardo DiCaprio, Matt Damon, Jack Nicholson",141,Won 4 Oscars. 99,"1,460,913"
The Wolf of Wall Street,2013,180 min,8.2,"Biography, Comedy, Crime","Leonardo DiCaprio, Jonah Hill, Margot Robbie",179,Nominated for 5 Oscars. 37,"1,646,556"
Django Unchained,2012,165 min,8.5,"Comedy, Drama, Western","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio",158,Won 2 Oscars. 58,"1,763,019"
The Terminator,1984,107 min,8.1,"Action, Adventure, Sci-Fi","Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",7,8,"946,171"
Alien,1979,117 min,8.5,"Horror, Sci-Fi","Sigourney Weaver, Tom Skerritt, John Hurt",22,Won 1 Oscar. 19,"996,440"
Blade Runner,1982,117 min,8.1,"Action, Drama, Sci-Fi","Harrison Ford, Rutger Hauer, Sean Young",22,Nominated for 2 Oscars. 13,"842,743"
Goodfellas,1990,145 min,8.7,"Biography, Crime, Drama","Robert De Niro, Ray Liotta, Joe Pesci",38,Won 1 Oscar. 44,"1,307,085"
The Usual Suspects,1995,106 min,8.5,"Crime, Drama, Mystery","Kevin Spacey, Gabriel Byrne, Chazz Palminteri",17,Won 2 Oscars. 37,"1,174,072"
The Big Lebowski,1998,117 min,8.1,"Comedy, Crime","Jeff Bridges, John Goodman, Julianne Moore",18,5,"882,309"
The Sixth Sense,1999,107 min,8.2,"Drama, Mystery, Thriller","Bruce Willis, Haley Joel Osment, Toni Collette",56,Nominated for 6 Oscars. 37,"1,081,505"
Se7en,1995,127 min,8.6,"Crime, Drama, Mystery","Morgan Freeman, Brad Pitt, Kevin Spacey",44,Nominated for 1 Oscar. 29,"1,872,142"
Avatar,2009,162 min,7.9,"Action, Adventure, Fantasy","Sam Worthington, Zoe Saldana, Sigourney Weaver",131,Won 3 Oscars. 91,"1,416,018"
Avengers: Endgame,2019,181 min,8.4,"Action, Adventure, Drama","Robert Downey Jr., Chris Evans, Mark Ruffalo",133,Nominated for 1 Oscar. 70,"1,328,385"
Back to the Future,1985,116 min,8.5,"Adventure, Comedy, Sci-Fi","Michael J. Fox, Christopher Lloyd, Lea Thompson",25,Won 1 Oscar. 25,"1,356,531"
Indiana Jones and the Last Crusade,1989,127 min,8.2,"Action, Adventure","Harrison Ford, Sean Connery, Alison Doody",24,Won 1 Oscar. 9,"827,661"
Lego Harry Potter and the Philosopher's Stone,2020–2021,N/A,N/A,"Animation, Adventure, Comedy","Robert Heath, A. Heath, Ben Heath",0,0,40
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,8.1,"Action, Adventure, Fantasy","Johnny Depp, Geoffrey Rush, Orlando Bloom",104,Nominated for 5 Oscars. 38,"1,250,137"
Toy Story,1995,81 min,8.3,"Animation, Adventure, Comedy","Tom Hanks, Tim Allen, Don Rickles",24,Nominated for 3 Oscars. 29,"1,102,860"
Finding Nemo,2003,100 min,8.2,"Animation, Adventure, Comedy","Albert Brooks, Ellen DeGeneres, Alexander Gould",63,Won 1 Oscar. 49,"1,142,262"
The Incredibles,2004,115 min,8.0,"Animation, Action, Adventure","Craig T. Nelson, Samuel L. Jackson, Holly Hunter",56,Won 2 Oscars. 69,"842,664"
Inside Out,2015,95 min,8.1,"Animation, Adventure, Comedy","Amy Poehler, Bill Hader, Lewis Black",118,Won 1 Oscar. 99,"853,260"
The Exorcist,1973,122 min,8.1,Horror,"Ellen Burstyn, Max von Sydow, Linda Blair",21,Won 2 Oscars. 18,"472,157"
Jaws,1975,124 min,8.1,"Adventure, Drama, Horror","Roy Scheider, Robert Shaw, Richard Dreyfuss",20,Won 3 Oscars. 16,"683,279"
Rocky,1976,120 min,8.1,"Drama, Sport","Sylvester Stallone, Talia Shire, Burt Young",23,Won 3 Oscars. 22,"650,875"
A Clockwork Orange,1971,136 min,8.2,"Crime, Sci-Fi","Malcolm McDowell, Patrick Magee, Michael Bates",26,Nominated for 4 Oscars. 12,"897,715"
The Shining,1980,146 min,8.4,"Drama, Horror","Jack Nicholson, Shelley Duvall, Danny Lloyd",9,6,"1,145,580"
E.T. the Extra-Terrestrial,1982,115 min,7.9,"Adventure, Family, Sci-Fi","Henry Thomas, Drew Barrymore, Peter Coyote",38,Won 4 Oscars. 52,"449,151"
The Breakfast Club,1985,97 min,7.8,"Comedy, Drama","Emilio Estevez, Judd Nelson, Molly Ringwald",0,0,"449,461"
Ferris Bueller's Day Off,1986,103 min,7.8,Comedy,"Matthew Broderick, Alan Ruck, Mia Sara",0,0,"395,990"
The Truman Show,1998,103 min,8.2,"Comedy, Drama","Jim Carrey, Ed Harris, Laura Linney",69,Nominated for 3 Oscars. 41,"1,253,418"
The Princess Bride,1987,98 min,8.0,"Adventure, Comedy, Family","Cary Elwes, Mandy Patinkin, Robin Wright",11,Nominated for 1 Oscar. 7,"461,477"
Monty Python and the Holy Grail,1975,91 min,8.2,"Adventure, Comedy, Fantasy","Graham Chapman, John Cleese, Eric Idle",2,2,"581,333"
